"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x988558161815711744",2018-04-23 23:20:06,"x15513604","foxandfriends","After the Show Show: @ainsleyearhardt discusses her new book 'The Light Within Me' – on sale tomorrow! https://t.co/aMPcH0Njgh","Hootsuite",,,,FALSE,FALSE,60,11,,,"bit.ly/2qSbPwB","https://t.co/aMPcH0Njgh","http://bit.ly/2qSbPwB",,,,,,,,,"x186646579","ainsleyearhardt","en",,,,,,,,,,,,,
"x988553164776501249",2018-04-23 23:00:15,"x15513604","foxandfriends","Small business optimism near a historic high | @SBALinda https://t.co/4l2AnYRH8e","Hootsuite",,,,FALSE,FALSE,98,30,,,"bit.ly/2qTyCXX","https://t.co/4l2AnYRH8e","http://bit.ly/2qTyCXX",,,,,,,,,"x819992522109894658","SBALinda","en",,,,,,,,,,,,,
"x988548089307959297",2018-04-23 22:40:05,"x15513604","foxandfriends","George H. W. Bush wore ‘book’ socks to honor his late wife – the incredible story of the connection between the Bush family and this pair of entrepreneurs https://t.co/AzqvQy9lpZ","Hootsuite",,,,FALSE,FALSE,186,28,,,"bit.ly/2HG1T2H","https://t.co/AzqvQy9lpZ","http://bit.ly/2HG1T2H",,,,,,,,,,,"en",,,,,,,,,,,,,
"x988543065215336449",2018-04-23 22:20:07,"x15513604","foxandfriends",".@candacecbure talks 'Kind is the New Classy' https://t.co/AaA1Yirqfs","Hootsuite",,,,FALSE,FALSE,129,21,,,"bit.ly/2vEnL9N","https://t.co/AaA1Yirqfs","http://bit.ly/2vEnL9N",,,,,,,,,"x33694840","candacecbure","en",,,,,,,,,,,,,
"x988538125248090112",2018-04-23 22:00:29,"x15513604","foxandfriends","Utah Senate candidate on running against Mitt Romney https://t.co/QXsP2bYJRw","Hootsuite",,,,FALSE,FALSE,67,20,,,"bit.ly/2Hl8aBz","https://t.co/QXsP2bYJRw","http://bit.ly/2Hl8aBz",,,,,,,,,,,"en",,,,,,,,,,,,,
"x988532996876722177",2018-04-23 21:40:07,"x15513604","foxandfriends",".@annakooiman's tips for traveling with a baby https://t.co/QdDyOM2IQu","Hootsuite",,,,FALSE,FALSE,28,4,,,"bit.ly/2vC7MsV","https://t.co/QdDyOM2IQu","http://bit.ly/2vC7MsV",,,,,,,,,"x172414996","annakooiman","en",,,,,,,,,,,,,
"x988527966714986498",2018-04-23 21:20:07,"x15513604","foxandfriends",".@PressSec: Democrats need to confirm Mike Pompeo https://t.co/EFqhPgDBsx","Hootsuite",,,,FALSE,FALSE,335,66,,,"bit.ly/2FazKvp","https://t.co/EFqhPgDBsx","http://bit.ly/2FazKvp",,,,,,,,,"x818927131883356161","PressSec","en",,,,,,,,,,,,,
"x988522970812477441",2018-04-23 21:00:16,"x15513604","foxandfriends",".@JonathanTurley: Comey violated the rules of the FBI with memos https://t.co/SRtKpscEAz","Hootsuite",,,,FALSE,FALSE,152,36,,,"bit.ly/2Hl87Wp","https://t.co/SRtKpscEAz","http://bit.ly/2Hl87Wp",,,,,,,,,"x94784682","JonathanTurley","en",,,,,,,,,,,,,
"x988517904290328576",2018-04-23 20:40:08,"x15513604","foxandfriends","Dr. @jordanbpeterson: Left must respect Trump voters https://t.co/DsbKJYoLzn","Hootsuite",,,,FALSE,FALSE,134,37,,,"bit.ly/2qTOH0w","https://t.co/DsbKJYoLzn","http://bit.ly/2qTOH0w",,,,,,,,,"x95092020","jordanbpeterson","en",,,,,,,,,,,,,
"x988512871968595968",2018-04-23 20:20:09,"x15513604","foxandfriends",".@dbongino: Rep. Adam Schiff is a police state tyrant https://t.co/G8eRyTGmoQ","Hootsuite",,,,FALSE,FALSE,669,194,,,"bit.ly/2K6iNpE","https://t.co/G8eRyTGmoQ","http://bit.ly/2K6iNpE",,,,,,,,,"x232901331","dbongino","en",,,,,,,,,,,,,
"x988507880637763584",2018-04-23 20:00:18,"x15513604","foxandfriends","Long Island cops crack down on MS-13 after threat https://t.co/mTtQ1sOQRW","Hootsuite",,,,FALSE,FALSE,151,26,,,"bit.ly/2qSOvxZ","https://t.co/mTtQ1sOQRW","http://bit.ly/2qSOvxZ",,,,,,,,,,,"en",,,,,,,,,,,,,
"x988488929413300224",2018-04-23 18:45:00,"x15513604","foxandfriends","Dr. @jordanbpeterson: The moderate left needs to dissociate itself from the radical left – something they refuse to do, but it’s a moral necessity https://t.co/4idtF3UxkO","Media Studio",,,,FALSE,FALSE,214,64,,,,,,"http://pbs.twimg.com/media/DbfKIs7XcAEP8JZ.jpg","https://t.co/4idtF3UxkO","https://twitter.com/foxandfriends/status/988488929413300224/video/1","photo","http://pbs.twimg.com/media/DbfKIs7XcAEP8JZ.jpg","https://t.co/4idtF3UxkO","https://twitter.com/foxandfriends/status/988488929413300224/video/1",,"x95092020","jordanbpeterson","en",,,,,,,,,,,,,
"x988486412273041408",2018-04-23 18:35:00,"x15513604","foxandfriends","WH @PressSec Sarah Sanders urges Democrats to put aside their political games and hatred for President Trump and confirm Mike Pompeo https://t.co/EFqhPgm03X https://t.co/AAQ4ilA387","Media Studio",,,,FALSE,FALSE,1573,448,,,"bit.ly/2FazKvp","https://t.co/EFqhPgm03X","http://bit.ly/2FazKvp","http://pbs.twimg.com/media/DbfEFuWXcAAuiUD.jpg","https://t.co/AAQ4ilA387","https://twitter.com/foxandfriends/status/988486412273041408/photo/1","photo","http://pbs.twimg.com/media/DbfEFuWXcAAuiUD.jpg","https://t.co/AAQ4ilA387","https://twitter.com/foxandfriends/status/988486412273041408/photo/1",,"x818927131883356161","PressSec","en",,,,,,,,,,,,,
"x988483895174676483",2018-04-23 18:25:00,"x15513604","foxandfriends","Dr. @jordanbpeterson: The hard left is pushing this ‘victim’ narrative, especially on college campuses, and @RealCandaceO is rightfully objecting to that mentality https://t.co/mZ81soZGCs","Media Studio",,,,FALSE,FALSE,415,171,,,,,,"http://pbs.twimg.com/amplify_video_thumb/988478065859801089/img/TmexvMBXSAbc0vhW.jpg","https://t.co/mZ81soZGCs","https://twitter.com/foxandfriends/status/988483895174676483/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/988478065859801089/img/TmexvMBXSAbc0vhW.jpg","https://t.co/mZ81soZGCs","https://twitter.com/foxandfriends/status/988483895174676483/video/1",,"x95092020 878247600096509952","jordanbpeterson RealCandaceO","en",,,,,,,,,,,,,
"x988462515704270848",2018-04-23 17:00:03,"x15513604","foxandfriends","‘Fuller House’ star and author of the new book ‘Kind is the New Classy: The Power of Living Graciously’ @candacecbure shares her secret to staying true to herself https://t.co/L2T7mRIAJt","Media Studio",,,,FALSE,FALSE,414,68,,,,,,"http://pbs.twimg.com/media/Dbe3HdeX0AABqhK.jpg","https://t.co/L2T7mRIAJt","https://twitter.com/foxandfriends/status/988462515704270848/video/1","photo","http://pbs.twimg.com/media/Dbe3HdeX0AABqhK.jpg","https://t.co/L2T7mRIAJt","https://twitter.com/foxandfriends/status/988462515704270848/video/1",,"x33694840","candacecbure","en",,,,,,,,,,,,,
"x988459916254904325",2018-04-23 16:49:43,"x15513604","foxandfriends","“If MS-13 wants to threaten a cop in this county, MS-13 is going to get an answer” –NY Police Commissioner fires back at the gang’s sinister plan to ‘take out cops’ https://t.co/miutYoGnxu","Media Studio",,,,FALSE,FALSE,407,150,,,,,,"http://pbs.twimg.com/media/Dbe3CFTXUAAEDf1.jpg","https://t.co/miutYoGnxu","https://twitter.com/foxandfriends/status/988459916254904325/video/1","photo","http://pbs.twimg.com/media/Dbe3CFTXUAAEDf1.jpg","https://t.co/miutYoGnxu","https://twitter.com/foxandfriends/status/988459916254904325/video/1",,,,"en",,,,,,,,,,,,,
"x988456424232620034",2018-04-23 16:35:50,"x15513604","foxandfriends","RT @ainsleyearhardt: Showing Hayden some of the pictures in my new book, “The Light Within Me,” available tomorrow! #TheLightWithinMe @foxa…","Twitter Web Client",,,,FALSE,TRUE,0,105,"TheLightWithinMe",,,,,,,,,,,,,"x186646579","ainsleyearhardt","en",,,"x988456213334634497","Showing Hayden some of the pictures in my new book, “The Light Within Me,” available tomorrow! #TheLightWithinMe @foxandfriends https://t.co/JCyrnscJah",,,,,,,,,
"x988455122115100673",2018-04-23 16:30:40,"x15513604","foxandfriends","RT @kilmeade: Romney loses Republican nomination and heads to primary. Mike Kennedy opens up about the race on @foxandfriends https://t.co/…","Twitter Web Client",,,,FALSE,TRUE,0,114,,,,,,,,,,,,,,"x43919633 15513604","kilmeade foxandfriends","en",,,"x988449370935775233","Romney loses Republican nomination and heads to primary. Mike Kennedy opens up about the race on @foxandfriends https://t.co/CaIZFGyFL9",,,,,,,,,
"x988455085691801601",2018-04-23 16:30:31,"x15513604","foxandfriends","RT @ainsleyearhardt: Can’t wait to see you tonight at @BookendsNJ in Ridgewood, NJ! @foxandfriends @foxnews https://t.co/FqDrVo2w9J","Twitter Web Client",,,,FALSE,TRUE,0,15,,,,,,"http://pbs.twimg.com/media/DbeCPuWXUAA4BRa.jpg","https://t.co/FqDrVo2w9J","https://twitter.com/ainsleyearhardt/status/988454958390390784/photo/1","photo","http://pbs.twimg.com/media/DbeCPuWXUAA4BRa.jpg","https://t.co/FqDrVo2w9J","https://twitter.com/ainsleyearhardt/status/988454958390390784/photo/1",,"x186646579 141665553 15513604 1367531","ainsleyearhardt BookendsNJ foxandfriends FoxNews","en",,,"x988454958390390784","Can’t wait to see you tonight at @BookendsNJ in Ridgewood, NJ! @foxandfriends @foxnews https://t.co/FqDrVo2w9J",,,,,,,,,
"x988445390402879488",2018-04-23 15:52:00,"x15513604","foxandfriends","RT @ainsleyearhardt: ‘God put me here for a reason' -- Read an excerpt from 'The Light Within Me’ @foxandfriends @FoxNews https://t.co/LGrn…","Twitter Web Client",,,,FALSE,TRUE,0,87,,,,,,,,,,,,,,"x186646579 15513604 1367531","ainsleyearhardt foxandfriends FoxNews","en",,,"x988445286812078080","‘God put me here for a reason' -- Read an excerpt from 'The Light Within Me’ @foxandfriends @FoxNews https://t.co/LGrnHt3a3o",,,,,,,,,
"x988444588770816006",2018-04-23 15:48:49,"x15513604","foxandfriends","RT @ToddPiro: If you watched @foxandfriends this weekend, you know the movement is real. The “PiroManiacs” in Jupiter, Florida are just the…","Twitter Web Client",,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,"x33125742 15513604","ToddPiro foxandfriends","en",,,"x988444121558929408","If you watched @foxandfriends this weekend, you know the movement is real. The “PiroManiacs” in Jupiter, Florida are just the beginning (probably the end too). People far and wide (about 20 of you) asked for headshots. Please message me your address and I’ll accommodate! https://t.co/3MmJuUnYBI",,,,,,,,,
"x988436080104951810",2018-04-23 15:15:00,"x15513604","foxandfriends",".@PressSec: China has been a great partner in helping put pressure on North Korea – we’re not naïve, we have a long way to go, but we’ve made real progress https://t.co/k5dvCGxJuh","Media Studio",,,,FALSE,FALSE,358,81,,,,,,"http://pbs.twimg.com/media/DbeU03wXcAA_ZQh.jpg","https://t.co/k5dvCGxJuh","https://twitter.com/foxandfriends/status/988436080104951810/video/1","photo","http://pbs.twimg.com/media/DbeU03wXcAA_ZQh.jpg","https://t.co/k5dvCGxJuh","https://twitter.com/foxandfriends/status/988436080104951810/video/1",,"x818927131883356161","PressSec","en",,,,,,,,,,,,,
"x988433563799379969",2018-04-23 15:05:00,"x15513604","foxandfriends",".@PressSec: Denuclearization is the focus of talks with North Korea – President Trump will continue his maximum pressure campaign with the nation until we reach that goal https://t.co/UtRZw7s9Ac","Media Studio",,,,FALSE,FALSE,249,76,,,,,,"http://pbs.twimg.com/media/DbeUvnoX0AAR_N6.jpg","https://t.co/UtRZw7s9Ac","https://twitter.com/foxandfriends/status/988433563799379969/video/1","photo","http://pbs.twimg.com/media/DbeUvnoX0AAR_N6.jpg","https://t.co/UtRZw7s9Ac","https://twitter.com/foxandfriends/status/988433563799379969/video/1",,"x818927131883356161","PressSec","en",,,,,,,,,,,,,
