"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x988509958089166848",2018-04-23 20:08:34,"x25073877","realDonaldTrump","Here’s a great stat - since January 2017, the number of people forced to use food stamps is down 1.9 million. The American people are finally back to work!","Twitter for iPhone",,,,FALSE,FALSE,93889,21334,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988415011382091776",2018-04-23 13:51:17,"x25073877","realDonaldTrump","Mexico, whose laws on immigration are very tough, must stop people from going through Mexico and into the U.S. We may make this a condition of the new NAFTA Agreement. Our Country cannot accept what is happening! Also, we must get Wall funding fast.","Twitter for iPhone",,,,FALSE,FALSE,81780,20234,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988413372298416128",2018-04-23 13:44:46,"x25073877","realDonaldTrump","Despite the Democrat inspired laws on Sanctuary Cities and the Border being so bad and one sided, I have instructed the Secretary of Homeland Security not to let these large Caravans of people into our Country. It is a disgrace. We are the only Country in the World so naive! WALL","Twitter for iPhone",,,,FALSE,FALSE,81026,20703,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988405962624118785",2018-04-23 13:15:19,"x25073877","realDonaldTrump","Hard to believe Obstructionists May vote against Mike Pompeo for Secretary of State. The Dems will not approve hundreds of good people, including the Ambassador to Germany. They are maxing out the time on approval process for all, never happened before. Need more Republicans!","Twitter for iPhone",,,,FALSE,FALSE,75241,20317,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988148545545895937",2018-04-22 20:12:26,"x25073877","realDonaldTrump","Thank you to the incredible Law Enforcement Officers from the Palm Beach County Sheriff’s Office. They keep us safe and are very cool about it! https://t.co/NlhxpPwmzT","Twitter for iPhone",,,,FALSE,FALSE,85574,16163,,,,,,"http://pbs.twimg.com/media/Dbab1avV4AANUCf.jpg","https://t.co/NlhxpPwmzT","https://twitter.com/realDonaldTrump/status/988148545545895937/photo/1","photo","http://pbs.twimg.com/media/Dbab1avV4AANUCf.jpg","https://t.co/NlhxpPwmzT","https://twitter.com/realDonaldTrump/status/988148545545895937/photo/1",,,,"en",,,,,,,,,,,,,
"x988146462625181696",2018-04-22 20:04:10,"x25073877","realDonaldTrump","Kim Strassel of the WSJ just said, after reviewing the dumb Comey Memos, “you got to ask, what was the purpose of the Special Counsel? There’s no there there.” Dan Henninger of the WSJ said Memos would show that this would be one of the weakest obstruction cases ever brought!","Twitter for iPhone",,,,FALSE,FALSE,87148,23006,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988126197619068928",2018-04-22 18:43:38,"x25073877","realDonaldTrump","Funny how all of the Pundits that couldn’t come close to making a deal on North Korea are now all over the place telling me how to make a deal!","Twitter for iPhone",,,,FALSE,FALSE,112545,27005,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988106076028653568",2018-04-22 17:23:41,"x25073877","realDonaldTrump","A complete Witch Hunt!","Twitter for iPhone",,,,FALSE,FALSE,89871,19397,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988056354567917568",2018-04-22 14:06:06,"x25073877","realDonaldTrump","“I can die happy now with Trump Job performance,” stated Mary Matalin. “A great overall President, stunning!” Thank you Mary.","Twitter for iPhone",,,,FALSE,FALSE,85619,16313,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988040227167064064",2018-04-22 13:02:01,"x25073877","realDonaldTrump","....We are a long way from conclusion on North Korea, maybe things will work out, and maybe they won’t - only time will tell....But the work I am doing now should have been done a long time ago!","Twitter for iPhone",,,,FALSE,FALSE,100511,21439,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988037292932653056",2018-04-22 12:50:22,"x25073877","realDonaldTrump","Sleepy Eyes Chuck Todd of Fake News NBC just stated that we have given up so much in our negotiations with North Korea, and they have given up nothing. Wow, we haven’t given up anything &amp; they have agreed to denuclearization (so great for World), site closure, &amp; no more testing!","Twitter for iPhone",,,,FALSE,FALSE,96051,24982,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x988030312088260608",2018-04-22 12:22:37,"x25073877","realDonaldTrump","“GOP Lawmakers asking Sessions to Investigate Comey and Hillary Clinton.” @FoxNews   Good luck with that request!","Twitter for iPhone",,,,FALSE,FALSE,83410,19846,,,,,,,,,,,,,,"x1367531","FoxNews","en",,,,,,,,,,,,,
"x987820963038449664",2018-04-21 22:30:45,"x25073877","realDonaldTrump","“At least two Memos Comey shared with a friend contained Classified Information.”  Wall Street Journal","Twitter for iPhone",,,,FALSE,FALSE,85471,21820,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
