"created_at","screen_name","text","reply_to_screen_name","is_retweet","favorite_count","retweet_count","hashtags","media_url","media_type","mentions_screen_name","quoted_text","place_name","country_code","exclam","exlam_count","url_embeded","all_caps","all_caps_count","uppercase_first","uppercase_first_count"
2018-05-18 08:40:05,"foxandfriends","Professor rebuked after vowing to boost female students' grades to offset gender imbalances https://t.co/n14sswvXrS",,FALSE,53,28,,,,,,,,FALSE,0,TRUE,,0,"Professor Xr",2
2018-04-24 12:17:00,"foxandfriends","Border patrol agents nab 56 illegal immigrants from an alleged stash house after being tipped off about ‘suspicious activity’ https://t.co/pfAnP93uov",,FALSE,1518,525,,"http://pbs.twimg.com/media/Dbi3f4QX4AEfAlQ.jpg","photo",,,,,FALSE,0,TRUE,,0,"Border An",2
2018-04-10 08:45:07,"foxandfriends","Tennessee college senior defends posing for graduation picture with gun in her waistband https://t.co/C3aQ9kbDw1",,FALSE,866,166,,,,,,,,FALSE,0,TRUE,,0,"Tennessee Dw",2
2018-05-13 09:40:04,"foxandfriends","Students Dismiss Idea of Nobel Prize for Trump, Defend Obama's But Don't Know Why https://t.co/u4wYTwcEhv",,FALSE,182,68,,,,,,,,FALSE,0,TRUE,"YT",1,"Students Dismiss Idea Nobel Prize Trump Defend Obama But Don Know Why Twc Ehv",14
2018-05-23 13:53:00,"foxandfriends","In honor of Fleet Week – here’s a 360 degree look at a @USNavy amphibious warship https://t.co/2nGth84926",,FALSE,233,76,,"http://pbs.twimg.com/media/Dd4j7BiWkAAqsvo.jpg","photo","USNavy",,,,FALSE,0,TRUE,"USN",1,"In Fleet Week Navy Gth",5
2018-04-23 16:30:31,"foxandfriends","RT @ainsleyearhardt: Can’t wait to see you tonight at @BookendsNJ in Ridgewood, NJ! @foxandfriends @foxnews https://t.co/FqDrVo2w9J",,TRUE,0,17,,"http://pbs.twimg.com/media/DbeCPuWXUAA4BRa.jpg","photo","ainsleyearhardt BookendsNJ foxandfriends FoxNews",,,,TRUE,1,TRUE,"RT NJ NJ",3,"Can Bookends Ridgewood Fq Dr Vo",6
2018-05-01 12:47:00,"foxandfriends",".@MZHemingway: Michelle Wolf’s performance was no surprise. The question is why the WHCA thought she’d be a good person to have at the event, knowing her history. https://t.co/V7YxrQbdQL",,FALSE,288,98,,"http://pbs.twimg.com/media/DcG8RkfXcAAgzLn.jpg","photo","MZHemingway",,,,FALSE,0,TRUE,"MZH WHCA QL",3,"Hemingway Michelle Wolf The Yxr Qbd",6
2018-04-17 09:30:17,"foxandfriends","Longtime Spurs fans 'turned off' by coach Gregg Popovich's anti-Trump comments, report says https://t.co/9I2Npfum7e",,FALSE,193,58,,,,,,,,FALSE,0,TRUE,,0,"Longtime Spurs Gregg Popovich Trump Npfum",6
2018-04-08 09:10:04,"foxandfriends","California highway crash injures more than a dozen possible illegal immigrants, reports say https://t.co/LtTcvGcZjD",,FALSE,91,93,,,,,,,,FALSE,0,TRUE,,0,"California Lt Tcv Gc Zj",5
2018-05-23 11:02:42,"foxandfriends","Anchors away! Fleet Week kicks off in New York today | @ToddPiro https://t.co/DNDh8uM40N",,FALSE,134,38,,"http://pbs.twimg.com/media/Dd4HGDmWAAAO7mQ.jpg","photo","ToddPiro",,,,TRUE,1,TRUE,"DND",1,"Anchors Fleet Week New York Todd Piro Dh",8
